61小鞋子信息：导演:马基德·马基迪MajidMajidi   主演:AmirFarrokhHashemian/默罕...1997 / 伊朗 / 剧情家庭儿童
62本杰明·巴顿奇事信息：导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...2008 / 美国 / 剧情爱情奇幻
63七宗罪信息：导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布...1995 / 美国 / 剧情犯罪悬疑惊悚
64致命魔术信息：导演:克里斯托弗·诺兰ChristopherNolan   主演:休·杰克曼HughJackman...2006 / 美国英国 / 剧情悬疑惊悚
65被嫌弃的松子的一生信息：导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E...2006 / 日本 / 剧情歌舞
66西西里的美丽传说信息：导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...2000 / 意大利美国 / 剧情战争情色
67黑客帝国信息：导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...1999 / 美国澳大利亚 / 动作科幻
68看不见的客人信息：导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas/阿...2016 / 西班牙 / 剧情犯罪悬疑惊悚
69让子弹飞信息：导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...2010 / 中国大陆香港 / 剧情喜剧动作西部
70拯救大兵瑞恩信息：导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...1998 / 美国 / 剧情历史战争
71音乐之声信息：导演:RobertWise   主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...1965 / 美国 / 剧情传记爱情歌舞
72天使爱美丽信息：导演:让-皮埃尔·热内Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTau...2001 / 法国德国 / 喜剧爱情
73大闹天宫信息：导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/...1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆) / 中国大陆 / 动画奇幻
74低俗小说信息：导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...1994 / 美国 / 剧情喜剧犯罪
75哈利·波特与魔法石信息：导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint2001 / 美国英国 / 奇幻冒险
76勇敢的心信息：导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...1995 / 美国 / 动作传记剧情历史战争
77剪刀手爱德华信息：导演:TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...1990 / 美国 / 剧情奇幻爱情
78沉默的羔羊信息：导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...1991 / 美国 / 剧情犯罪惊悚
79蝴蝶效应信息：导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...2004 / 美国加拿大 / 剧情悬疑科幻惊悚
80春光乍泄信息：导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/梁朝伟TonyLeu...1997 / 香港日本韩国 / 剧情爱情同性
81心灵捕手信息：导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...1997 / 美国 / 剧情
82寻梦环游记信息：导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina   主演:...2017 / 美国 / 喜剧动画奇幻音乐
83猫鼠游戏信息：导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...2002 / 美国加拿大 / 传记犯罪剧情
84入殓师信息：导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...2008 / 日本 / 剧情
85布达佩斯大饭店信息：导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...2014 / 美国德国英国 / 剧情喜剧冒险
86禁闭岛信息：导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...2010 / 美国 / 剧情悬疑惊悚
87幽灵公主信息：导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合...1997 / 日本 / 动画奇幻冒险
88阳光灿烂的日子信息：导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao1994 / 中国大陆香港 / 剧情
89玛丽和马克思信息：导演:亚当·艾略特AdamElliot   主演:托妮·科莱特ToniCollette/菲利...2009 / 澳大利亚 / 剧情动画
90第六感信息：导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...1999 / 美国 / 剧情悬疑惊悚
91穿条纹睡衣的男孩信息：导演:马克·赫尔曼MarkHerman   主演:阿萨·巴特菲尔德AsaButterfield...2008 / 英国美国 / 剧情战争
92重庆森林信息：导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK...1994 / 香港 / 剧情爱情
93狩猎信息：导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...2012 / 丹麦瑞典 / 剧情
94致命ID信息：导演:JamesMangold   主演:JohnCusack/RayLiotta/AmandaPeet2003 / 美国 / 剧情悬疑惊悚
95断背山信息：导演:李安AngLee   主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...2005 / 美国加拿大 / 剧情爱情同性家庭
96加勒比海盗信息：导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp/...2003 / 美国 / 动作冒险奇幻
97阿凡达信息：导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington...2009 / 美国英国 / 动作战争科幻冒险
98摩登时代信息：导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin...1936 / 美国 / 喜剧剧情爱情
99大鱼信息：导演:蒂姆·波顿TimBurton   主演:伊万·麦克格雷格EwanMcGregor/阿...2003 / 美国 / 剧情家庭奇幻冒险
100告白信息：导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生...2010 / 日本 / 剧情惊悚
101一一信息：导演:杨德昌EdwardYang   主演:吴念真/李凯莉KellyLee/金燕玲Elai...2000 / 台湾日本 / 剧情爱情家庭
102射雕英雄传之东成西就信息：导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri...1993 / 香港 / 喜剧古装
103阳光姐妹淘信息：导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...2011 / 韩国 / 剧情喜剧
104甜蜜蜜信息：导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...1996 / 香港 / 剧情爱情
105消失的爱人信息：导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙...2014 / 美国 / 剧情犯罪悬疑惊悚
106爱在黎明破晓前信息：导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...1995 / 美国奥地利瑞士 / 剧情爱情
107喜剧之王信息：导演:周星驰StephenChow/李力持Lik-ChiLee   主演:周星驰StephenCh...1999 / 香港 / 喜剧剧情爱情
108上帝之城信息：导演:KátiaLund/FernandoMeirelles   主演:AlexandreRodrigues/Lea...2002 / 巴西法国 / 犯罪剧情
109小森林 夏秋篇信息：导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...2014 / 日本 / 剧情
110侧耳倾听信息：导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K...1995 / 日本 / 剧情爱情动画
111风之谷信息：导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto/松田洋治Y...1984 / 日本 / 动画奇幻冒险
112倩女幽魂信息：导演:程小东Siu-TungChing   主演:张国荣LeslieCheung/王祖贤JoeyW...1987 / 香港 / 剧情爱情武侠古装
113恐怖直播信息：导演:金秉祐Byeong-wooKim   主演:河正宇Jung-wooHa/李璟荣Kyeong-y...2013 / 韩国 / 剧情犯罪悬疑
114红辣椒信息：导演:今敏SatoshiKon   主演:林原惠美MegumiHayashibara/古谷彻T...2006 / 日本 / 动画悬疑科幻惊悚
115超脱信息：导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/马西...2011 / 美国 / 剧情
116爱在日落黄昏时信息：导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...2004 / 美国 / 剧情爱情
